"SampleID"	"PatientID"	"CellType"
"GSE138794-GSM4119521-SF10022_Myeloid"	"GSE138794-GSM4119521-SF10022"	"Myeloid"
"GSE138794-GSM4119521-SF10022_Stroma"	"GSE138794-GSM4119521-SF10022"	"Stroma"
"GSE138794-GSM4119521-SF10022_Tumor"	"GSE138794-GSM4119521-SF10022"	"Tumor"
"GSE138794-GSM4119522-SF10127_Myeloid"	"GSE138794-GSM4119522-SF10127"	"Myeloid"
"GSE138794-GSM4119522-SF10127_Tumor"	"GSE138794-GSM4119522-SF10127"	"Tumor"
"GSE138794-GSM4119523-SF11979sn_Tumor"	"GSE138794-GSM4119523-SF11979sn"	"Tumor"
"GSE138794-GSM4119525-SF12264_Myeloid"	"GSE138794-GSM4119525-SF12264"	"Myeloid"
"GSE138794-GSM4119525-SF12264_T cells"	"GSE138794-GSM4119525-SF12264"	"T cells"
"GSE138794-GSM4119525-SF12264_Tumor"	"GSE138794-GSM4119525-SF12264"	"Tumor"
"GSE138794-GSM4119526-SF4400_Tumor"	"GSE138794-GSM4119526-SF4400"	"Tumor"
"GSE138794-GSM4119527-SF4297_Myeloid"	"GSE138794-GSM4119527-SF4297"	"Myeloid"
"GSE138794-GSM4119527-SF4297_Tumor"	"GSE138794-GSM4119527-SF4297"	"Tumor"
"GSE138794-GSM4119528-SF6996_Myeloid"	"GSE138794-GSM4119528-SF6996"	"Myeloid"
"GSE138794-GSM4119528-SF6996_Tumor"	"GSE138794-GSM4119528-SF6996"	"Tumor"
"GSE138794-GSM4119529-SF9259R_Myeloid"	"GSE138794-GSM4119529-SF9259R"	"Myeloid"
"GSE138794-GSM4119529-SF9259R_Tumor"	"GSE138794-GSM4119529-SF9259R"	"Tumor"
"GSE138794-GSM4119530-SF9259S_Myeloid"	"GSE138794-GSM4119530-SF9259S"	"Myeloid"
"GSE138794-GSM4119530-SF9259S_Tumor"	"GSE138794-GSM4119530-SF9259S"	"Tumor"
"GSE138794-GSM4119531-SF11979_Myeloid"	"GSE138794-GSM4119531-SF11979"	"Myeloid"
"GSE138794-GSM4119531-SF11979_T cells"	"GSE138794-GSM4119531-SF11979"	"T cells"
"GSE138794-GSM4119531-SF11979_Tumor"	"GSE138794-GSM4119531-SF11979"	"Tumor"
"GSE138794-GSM4119532-SF11977_Myeloid"	"GSE138794-GSM4119532-SF11977"	"Myeloid"
"GSE138794-GSM4119532-SF11977_Tumor"	"GSE138794-GSM4119532-SF11977"	"Tumor"
"GSE138794-GSM4119533-SF11956_Myeloid"	"GSE138794-GSM4119533-SF11956"	"Myeloid"
"GSE138794-GSM4119533-SF11956_Tumor"	"GSE138794-GSM4119533-SF11956"	"Tumor"
"GSE138794-GSM4119534-SF11644_Myeloid"	"GSE138794-GSM4119534-SF11644"	"Myeloid"
"GSE138794-GSM4119534-SF11644_Tumor"	"GSE138794-GSM4119534-SF11644"	"Tumor"
"GSE138794-GSM4119535-SF11136_Myeloid"	"GSE138794-GSM4119535-SF11136"	"Myeloid"
"GSE138794-GSM4119535-SF11136_Tumor"	"GSE138794-GSM4119535-SF11136"	"Tumor"
"GSE138794-GSM4119536-SF12017_Myeloid"	"GSE138794-GSM4119536-SF12017"	"Myeloid"
"GSE138794-GSM4119536-SF12017_Tumor"	"GSE138794-GSM4119536-SF12017"	"Tumor"
"GSE138794-GSM4119537-SF11964_Myeloid"	"GSE138794-GSM4119537-SF11964"	"Myeloid"
"GSE138794-GSM4119537-SF11964_Stroma"	"GSE138794-GSM4119537-SF11964"	"Stroma"
"GSE138794-GSM4119537-SF11964_Tumor"	"GSE138794-GSM4119537-SF11964"	"Tumor"
"GSE138794-GSM4119539-SF11612_Myeloid"	"GSE138794-GSM4119539-SF11612"	"Myeloid"
"GSE138794-GSM4119539-SF11612_Stroma"	"GSE138794-GSM4119539-SF11612"	"Stroma"
"GSE138794-GSM4119539-SF11612_Tumor"	"GSE138794-GSM4119539-SF11612"	"Tumor"
"GSE138794-GSM4658373-SF11681_Myeloid"	"GSE138794-GSM4658373-SF11681"	"Myeloid"
"GSE138794-GSM4658373-SF11681_Stroma"	"GSE138794-GSM4658373-SF11681"	"Stroma"
"GSE138794-GSM4658373-SF11681_T cells"	"GSE138794-GSM4658373-SF11681"	"T cells"
"GSE138794-GSM4658373-SF11681_Tumor"	"GSE138794-GSM4658373-SF11681"	"Tumor"
