GeneSymbol	VPK1	VPK2	VPK3	VPK4	WT1	WT2	WT3	WT4
L1cam	9.198882956	9.161854409	9.317851059	9.405362082	8.498045614	8.56619791	8.525481722	8.737150215
Gapt	11.55864334	11.59452514	11.71012733	11.47497313	10.97823277	11.08737082	11.01687375	11.07195054
Card10	8.751337028	8.667491513	8.940106178	9.154412507	7.719675407	7.779110094	8.17971406	7.938777901
Nrp2	10.37612353	10.2864774	10.14878057	10.55731117	11.0997557	11.08350858	10.94963515	11.11909728
Sema4f	7.966030644	8.04040895	8.433774847	8.379552456	7.234795187	7.37933989	7.347313037	7.406607429
Arhgap30	13.0163228	13.02447106	13.11710899	13.36864977	12.47050172	12.43380139	12.51556072	12.48573529
Slc17a9	10.93309661	10.92257606	11.03741069	11.0732044	9.910727577	10.38067479	10.25240108	10.30270313
Vmn2r97	7.31099755	7.172880166	7.265177388	7.578018757	6.561570347	6.587100946	6.47128573	6.327511404
Ifi206	5.375403888	5.613876603	5.485581395	5.569492639	6.457532903	6.535568729	6.796757566	6.327511404
Hdc	9.982685598	10.22607933	10.40359121	10.62791957	8.889651808	9.350426875	9.218586201	9.473529242
C1qa	6.819191171	6.893051537	6.960653376	7.721885845	6.13784051	5.716292434	6.022109018	5.886527829
Myof	8.921557355	8.769280581	8.933872126	9.379811893	10.31775685	9.808273763	10.11585857	9.930461549
Gm5424	9.179166644	9.191398782	9.224076923	8.518990021	10.04049781	10.19854357	9.976313422	10.08170961
Rnf144a	10.47113164	10.42000407	10.80902667	11.45514363	9.375924343	9.55994627	9.667934953	9.554860385
Pianp	6.357266526	6.646721371	6.369404227	7.045292274	5.1329314	5.1329314	5.374072538	5.1329314
Ifit1bl2	8.73788079	8.739501005	9.187920828	10.00464057	7.574275059	7.945074658	7.557898012	7.897002305
Adam19	9.211069246	8.959084154	9.606800618	9.948952815	7.88640355	7.804995862	8.437388968	8.317391885
E2f2	12.30470758	12.28641721	12.25522176	12.45475033	11.72021145	11.85323375	11.8827068	11.78783094
C1qb	8.245866073	8.281796475	8.536535882	9.173483445	7.290277805	6.814401172	7.611375946	6.965359065
Vcan	12.92509587	12.46450161	12.91114045	13.68193092	11.68793901	11.90009159	11.50408153	11.72868627
Il1rl1	6.860611713	6.956772986	7.074549684	6.897289676	6.187274651	6.206787897	6.16323099	6.283020013
Cacna1e	6.459001502	6.453021078	6.947327142	6.569657927	5.750566437	5.805042579	5.669666496	5.765547541
Lmna	8.561791811	8.546400899	8.455807546	8.630167704	9.159256269	9.007374376	9.274775315	9.148443736
Igkv10-96	6.142161656	5.958505048	6.678085971	6.449298737	5.1329314	5.1329314	5.1329314	5.1329314
Ifi204	6.860611713	6.866596784	7.012564178	7.83815562	9.361634803	8.863906104	9.835820235	9.216769706
Dab2	11.07874791	10.83666675	10.94171724	10.62988699	11.6043823	11.91320464	11.47598627	11.72576872
Chil5	6.805058046	7.0054717	7.412863536	7.594779333	6.13784051	5.985037623	6.188874709	6.410894551
Arap3	12.21016444	12.2460741	12.29326923	12.35544458	11.70618102	11.87462008	11.85580174	11.77215997
Ly9	8.959672422	9.001447376	8.933872126	8.540246948	9.64887309	9.655126061	9.592670932	9.501154607
Adam23	6.533793626	6.81187145	6.224651938	6.823580002	5.656053206	5.1329314	5.809557358	5.473006687
Parvb	8.269592119	8.083645892	8.036130195	7.938899868	8.742514382	8.680543553	8.834739237	8.672357018
Oas2	9.71366227	9.408094329	9.428159445	9.386825369	8.564119306	8.659793191	8.977287687	8.633449735
Arhgef18	11.56291403	11.45129321	11.53934411	11.90547273	10.99416018	10.94421013	10.89929409	10.91902961
Mrpl52	8.838985915	8.782318646	8.681664562	8.762437022	9.279305341	9.380193984	9.304315738	9.223900712
Ptov1	11.0866803	11.09216735	11.11280194	10.96439345	10.50176536	10.59936972	10.67045169	10.58172291
Kmo	7.8374408	8.181266771	8.018330153	8.008380589	7.352160105	7.370521221	7.392185813	7.229963814
Oit3	6.964587369	7.052333113	7.285857591	7.490933439	8.050726128	7.861515446	8.339015453	8.352811447
Ceacam1	13.63359487	13.52198871	13.85435493	14.11644653	12.80678493	13.06420739	12.92871791	13.0295268
Hip1r	10.96357135	11.06392551	11.07313137	11.21621562	10.34286275	10.6155117	10.52787473	10.50597203
Fhip1b	10.81947093	10.83433537	10.77385386	11.17841456	10.11041297	10.22568134	10.34256867	10.11014164
Gtf2ird2	9.906976036	9.634398534	9.871829517	9.648343062	9.161617022	9.201118942	9.059657763	9.20960303
Atp6v0d2	7.094597638	6.956772986	6.906455386	7.463664346	8.261327541	7.684448167	8.517696012	8.34403967
Slc16a14	8.078317546	8.099520296	8.34203709	8.426052262	7.262832579	7.544429616	7.58871581	7.515148301
Ifitm1	14.33941702	14.34870278	14.83318909	14.71531124	13.36323565	13.60753084	13.88785764	13.7132437
Myo10	8.062041155	8.06219507	7.80576893	7.619536655	8.945602145	9.042430671	8.408168228	8.978815155
M6pr	12.48228772	12.56701651	12.44599374	12.33810785	12.98501552	12.86529964	12.97857198	12.91399807
Ceacam2	11.20192723	11.10253632	11.36704086	11.51063392	10.25961569	10.6902334	10.61907503	10.52528631
Mrtfa	12.37169095	12.21893503	12.32086336	12.46800231	11.72975404	11.81337676	11.93939472	11.75263594
Prg2	8.672166048	9.18406963	8.662897953	9.277842627	8.096460429	7.456170458	8.066067051	7.645000476
Sh3bp5l	9.492250282	9.618201579	9.488795807	9.407662424	8.881066828	8.974233378	9.070290455	8.855445203
NA	8.255404616	8.200978728	8.486087811	8.856686858	7.603199838	7.619925447	7.510305741	7.695047427
Fth1	15.44335543	15.56078521	15.6882546	15.61510874	16.02036531	16.11571432	16.3736737	16.21551113
Map3k9	9.710238211	9.769245897	10.07875994	10.29745032	8.988835834	9.210624474	9.174949308	9.223900712
Atp11a	12.33914139	12.06045775	12.21390562	12.47977138	11.72499064	11.6977268	11.59945937	11.61299681
Igha	9.189058725	8.851970557	10.31323632	9.492450976	6.656546216	5.716292434	6.930586328	6.794299396
Ttll3	8.829509151	8.59163813	8.860152506	8.909733748	8.155198686	7.990651728	8.303123906	8.007587121
Lpl	14.51307454	14.39779788	14.31528375	13.81124919	15.32078304	15.27124761	14.91553767	15.29406015
Nbeal2	13.02167582	12.88186457	13.09608599	13.32516529	12.41366923	12.43859571	12.45650546	12.54297031
Brpf3	9.596125565	9.469606918	9.482420209	9.576603155	8.964678077	9.125230483	8.883854486	9.023145545
Tbc1d8	12.54886422	12.39503968	12.61421622	12.71817043	12.06237917	12.07039166	12.07108456	12.0425153
Satb1	9.592409338	9.410187795	9.862049712	10.52912445	8.592525075	8.581005045	8.910756443	8.730467185
Rgs3	10.06402421	9.989389065	10.17402005	10.29868792	9.290128351	9.591167835	9.559167598	9.549201315
Ass1	11.84828905	11.8790077	11.7792213	11.02319645	12.605982	12.84149056	12.60770129	12.66438638
Asgr2	7.983462852	8.491732019	8.154746781	8.484301093	7.491368839	7.447850026	7.611375946	7.168799364
Perp	7.56883821	7.535662672	7.619546038	7.211449505	8.188357343	8.040199378	8.270950057	8.408535722
Xdh	12.60837749	12.42658315	12.75675198	13.15107737	11.88407389	11.75022955	12.00605277	11.90926057
Cd48	9.668500448	9.734616399	9.630050416	9.711099914	10.25300827	10.09740411	10.22302554	10.07778865
Plekhg3	11.42269653	11.3559308	11.36185178	11.56046368	10.97823277	10.98066274	10.98294592	10.99647913
Panct2	8.442094824	8.475716674	8.552960459	8.90320973	7.808648447	7.985035797	7.88833783	7.897002305
Dusp23	6.497054536	6.562917105	6.495801433	6.125297447	7.156907695	7.180378081	7.48586069	7.082411968
Glrp1	6.989257792	7.086363853	6.608733552	6.6607204	7.459901729	7.648981499	7.799921194	7.789947446
2510009E07Rik	7.850216681	7.80136271	7.919340189	8.038849318	8.956533853	8.588351055	8.445627962	8.548480848
Pbx1	10.68134808	10.62277118	11.0431858	11.41749675	9.981746511	9.942409145	10.11201704	10.06728023
Ppp1r12b	8.924525676	8.7494969	8.882994748	8.919464204	9.412028406	9.330959434	9.308806877	9.422835952
Marco	5.813234104	5.810013484	5.688470549	5.748011487	6.686499623	6.254432745	6.579275809	6.577087583
Hilpda	7.083320451	7.086363853	7.012564178	6.808276895	7.713093109	7.49701125	7.760214848	7.688009619
Lipa	12.14614551	12.09656193	12.16807214	12.15597334	12.69696044	12.46752566	12.56037296	12.56924777
Slco4c1	9.304999335	9.332829479	9.784776917	10.20146147	8.592525075	8.68397269	8.721007443	8.717006229
Casp6	9.979846162	9.962576017	10.43028993	10.68769438	9.056415275	8.737743452	9.56292901	9.165833256
Rnase6	7.977676413	7.889807232	8.337289788	8.725883945	7.146830684	6.894248444	7.526358024	7.137087542
Trim30b	9.300446177	8.961947785	9.837305308	10.0800164	8.37237676	8.273743483	8.622987507	8.502041925
Gmip	11.99526848	11.99796902	12.0903832	12.12284236	11.53350355	11.71238787	11.62975095	11.61480026
Tnip3	8.530848668	8.471684355	8.659114714	8.331467851	9.264014521	9.087013922	9.509351164	9.028591411
Hspa12a	8.25064344	8.176295153	8.577245988	8.9482639	7.672917474	7.370521221	7.67001212	7.622973865
Ptx3	6.313504811	6.662754259	6.759238042	6.337163842	7.215760507	7.55217236	7.242829733	7.297848846
Cnn2	13.34366014	13.4463047	13.62094764	13.64849363	12.82433377	12.9401614	13.05984207	12.99636525
Gm7592	7.32045297	7.535662672	7.873702655	7.721885845	6.686499623	6.90705668	6.955665463	6.889404426
Cd209c	6.497054536	6.562917105	6.250353486	6.263243946	5.656053206	5.3724382	5.766568667	5.612769975
Gm9733	8.807148581	8.836436764	9.193142194	9.490282675	8.096460429	8.198530533	8.420765477	8.150994021
NA	7.504809834	7.734509181	7.932107466	7.766650809	6.938261898	6.94469246	7.118319348	7.179197648
Cdca3	11.30864149	11.27917189	11.15207848	10.95736117	11.6883469	11.78115563	11.87555589	11.68042122
1700047M11Rik	8.942207171	8.762716515	9.332112487	9.827233798	8.019380744	8.012891145	8.307660698	8.29023009
NA	6.846963645	6.597201918	7.275558551	7.397776106	6.13784051	6.156512394	6.109583297	6.283020013
NA	8.64716872	8.610069396	8.536535882	8.448740498	9.020423748	9.060957079	9.027276993	9.092373768
Col1a1	8.067487758	8.104771902	8.486087811	8.365298455	7.196440833	7.55217236	7.581077146	7.622973865
Tnfsf9	6.057239212	5.991272404	5.986396476	6.288519592	6.785593483	6.743500176	6.891974422	6.675281467
Ptprs	9.850572128	9.692272892	9.80363638	9.481576579	10.55911862	10.19973417	10.72593326	10.32602341
Rarres1	6.569324558	6.330142698	6.455356141	6.427836214	7.176826596	6.919731352	7.435585303	7.126339262
Sfn	8.207050416	8.384234929	8.643880222	8.506081057	7.672917474	7.804995862	7.863649672	7.847658485
Ighm	10.51393538	10.48090627	10.39458054	10.92247856	9.564120831	9.74275822	10.05312919	9.787283714
Scrg1	7.348416845	7.357692525	8.132916203	8.281683901	6.625778023	6.713889069	6.677594201	7.001644537
Matn2	7.912378641	7.692769566	7.697112788	7.255216663	8.475317828	8.336407765	8.433251392	8.395870178
NA	6.71649429	7.029122271	6.790176787	6.808276895	7.51449235	7.567525456	7.300854214	7.645000476
Steap4	6.478199478	6.393442438	6.455356141	7.307929525	5.53902136	5.805042579	5.809557358	5.848649302
Adgrb1	7.083320451	7.040781507	7.233526503	7.61133447	6.54491493	6.553017865	6.526633544	6.305521273
Rasgrp2	11.62050255	11.62496075	11.71103442	11.68249727	11.03386774	11.12606065	11.34203712	11.18856191
Cebpe	11.88475687	12.0571303	12.10667295	11.91154821	11.16393796	11.45331319	11.57317841	11.36823337
Csgalnact2	11.08536126	11.17248859	11.22311627	11.65040227	10.66822862	10.4711872	10.6235769	10.56875068
Adgrg3	11.55626525	11.60185193	11.69690995	11.58702701	11.0112186	11.193906	11.21955235	11.22385214
Fabp5	10.51687477	10.73784673	10.53239669	10.54067456	11.18085212	10.94917123	11.21776748	11.07326298
Siglecg	10.02599526	9.891028867	10.18451627	9.787203775	9.08407231	9.257228589	9.437390786	9.439253409
Reck	8.876275482	8.90950278	9.056530386	9.168060473	7.943369245	8.400592775	8.303123906	8.458092064
Mapk13	11.26852657	11.42261677	11.79513456	11.61509693	10.54296356	10.84351093	10.8417326	10.94865226
Gdf15	7.8374408	7.775011462	7.627505297	7.445170128	8.183668177	8.336407765	8.757739899	8.48621763
Lifr	7.366734262	7.339426545	7.412863536	7.463664346	6.889490945	6.620162664	6.878825866	6.524513628
Plet1	8.136424536	8.671004494	8.243908971	8.208885383	7.317157532	7.21073705	7.780211762	7.507105266
Myo1d	10.3278368	10.43956971	10.59173935	10.80986097	9.518873825	9.956569544	9.685288624	9.95916987
Sccpdh	6.887451924	6.709540118	7.050122326	6.625181766	7.544716019	7.405448058	7.435585303	7.608087891
Slfn4	10.67872599	10.44365515	10.98211354	11.18444942	9.873858895	9.783060623	10.02343855	10.19100748
NA	7.881647595	7.627657492	7.893446506	8.214212322	7.196440833	7.084720263	7.139930242	7.344262784
Vamp5	8.126037801	8.322772691	8.254035676	8.181942857	7.65925762	7.597716755	7.799921194	7.659488638
Cd302	9.97129409	9.882018367	9.793380071	10.06699834	10.67400895	10.30857597	10.47902125	10.54434514
Mdfic	9.378111578	9.356912386	9.259343041	9.439485955	9.89948366	9.755778295	9.788443721	9.777642147
Hr	6.776274696	7.234133099	6.933854569	7.211449505	6.234131489	6.182002646	6.526633544	6.050861634
Map4k2	12.42531531	12.37753893	12.49842028	12.51557722	11.76691917	11.90301592	12.13740704	11.90078602
Il18r1	8.283637876	8.401314661	8.498869314	8.836274427	7.483571316	7.719014073	7.786813085	7.950485795
Cd300lg	7.912378641	7.671410345	7.893446506	8.250945316	7.299299286	6.932275603	7.319635858	7.137087542
Tbc1d10c	8.446252201	8.471684355	8.743679915	8.970268922	7.752119305	7.648981499	8.169755755	7.789947446
Syne2	10.80110518	10.67321825	11.01627986	11.53969217	10.01598357	10.06379307	9.890686238	10.34136313
Sned1	7.454696475	7.311542009	7.611539703	7.619536655	6.715687773	6.841612379	6.955665463	6.965359065
Map7d3	6.860611713	6.866596784	6.626476949	6.882904383	7.443885206	7.325519432	7.36544586	7.499013634
4931406C07Rik	9.723885787	9.76271378	9.798517368	9.580684079	10.40972978	10.21276619	10.08744645	10.24211146
Ccdc88c	11.84283604	11.68999863	11.81425486	12.08320255	11.22257109	11.35955406	11.30328901	11.39943412
Pgap6	9.949688892	9.942494378	10.21683239	10.30115994	9.388060252	9.487601164	9.652135467	9.485433827
Slc6a12	8.588323999	8.726063	8.503104299	8.37006581	9.147393767	9.122714218	9.038152259	9.042116011
Smpdl3b	9.687780803	9.783835572	9.604846047	8.912984608	10.51009976	10.62262829	10.19424988	10.54339816
Lin28a	9.747461694	9.752859629	9.946221411	10.1267668	9.154523056	9.375979169	9.220971934	9.402046449
Rasgrp1	8.333971756	8.215582942	8.71118527	8.514700093	7.85701483	7.627248074	7.87604897	7.44095664
Cd177	14.97493589	15.29691806	15.4446774	15.36324187	14.25195949	14.69420748	14.50532864	14.73467569
F5	11.49996345	11.19325377	11.81594224	12.36610146	10.59873132	10.67062609	10.63610783	10.90214161
Arhgap4	11.99877525	11.94566484	12.11902696	12.17865327	11.49158089	11.63754525	11.68289499	11.62467914
Fzd7	8.945132918	8.879512028	8.866716268	8.316716637	9.544387526	9.541258578	9.365946765	9.552976504
Zfp703	10.64419754	10.53742843	10.74224657	10.47979516	10.09078125	10.15378482	10.2265824	10.10372894
Slc6a8	6.603739597	6.330142698	6.369404227	6.313145908	7.063201181	6.956984834	7.139930242	6.965359065
Fah	8.34293319	8.439005152	8.548872122	8.569481033	7.777531558	8.040199378	7.930507951	7.985027674
Rab44	13.10521627	13.11493698	13.1602514	12.69605058	12.18103268	12.46158756	12.5109534	12.34072791
Kdm6b	11.19154404	11.015362	11.28656472	11.57839655	10.3736421	10.57021872	10.75658675	10.60641578
Bmpr1a	8.848400107	8.684970246	9.045016532	9.33699536	8.150396976	8.353811403	8.22847128	8.34403967
Mrpl55	8.01768421	7.852595667	7.873702655	7.77397131	8.317946533	8.497582426	8.339015453	8.470214407
Rcsd1	12.33193089	12.37940517	12.55306052	12.86835377	11.69729153	11.84793211	12.03167362	11.82997131
Camp	13.95713564	14.28953748	14.63687615	14.34685741	13.19863247	13.56604737	13.69536276	13.6034403
Rere	10.51098998	10.31798	10.36374665	11.02693317	9.688629019	9.906386244	9.818629504	9.731773159
Dgkh	9.179166644	9.0152939	9.313065557	10.06845062	8.424784603	8.42547117	8.218854478	8.619033202
B230208H11Rik	8.618051184	8.538719031	8.843609717	9.08126631	7.909472192	7.985035797	8.149624133	8.23902878
Maff	7.463180475	7.543573408	7.403516744	6.853608948	8.040355891	8.174174899	8.005572349	8.2671877
Prg3	6.551704058	6.678563557	6.323516829	7.166144382	5.792505681	5.91845869	6.052318095	5.848649302
A530040E14Rik	8.618051184	8.4957077	8.782413953	8.75882366	7.932162218	7.804995862	8.0223334	7.158315964
Il18rap	11.19399388	11.17002585	11.64659285	11.95768726	10.55196095	10.58941543	10.63343179	10.84026935
Farp1	6.846963645	6.724720809	6.820324399	6.980209413	6.187274651	6.343083494	6.284811999	6.161612152
Rgs18	9.349753031	9.481599337	9.801932067	9.736918021	8.798345548	9.112604687	8.907792255	9.009439422
Hif1a	12.37762889	12.24080431	12.50523385	12.41310647	12.87394293	12.75976841	12.75852197	12.83478798
Asns	10.23685722	10.48685727	9.964614412	9.845991794	10.79942436	10.79630661	11.04667383	10.88654744
B3gnt7	7.709744154	7.781646889	7.938447213	7.378333201	8.283374575	8.50925161	8.303123906	8.395870178
NA	9.672025258	9.693990796	9.579191651	9.496777779	10.04815321	10.05592395	9.955022093	10.14678239
Celsr3	10.08001975	9.886530671	9.999223842	10.42758633	9.371856121	9.326597215	9.568552725	9.537815844
Ppp1r42	6.76161447	6.918940848	6.973836835	6.868345767	6.162902938	6.38457212	6.307344763	6.305521273
Cyth3	8.85775256	8.76600233	8.927610738	8.812084581	9.384026344	9.16000152	9.361631303	9.3068148
Cd74	12.25043563	12.83036495	12.4635921	13.19789281	11.52667656	11.3075285	12.11872132	11.32206213
NA	8.787699109	8.499672247	8.640045937	8.808595132	8.055882437	7.927589326	8.284829053	7.763498231
Cyp1b1	6.290865735	6.81187145	6.805346535	7.006652612	5.969306914	5.666061453	6.136821603	5.956638439
Mt2	6.819191171	6.944291662	7.19008297	6.470328082	7.666104709	7.41403755	7.825767926	7.909067511
Unc13d	11.49897319	11.54834377	11.67383301	11.57278449	11.00729992	11.18372003	11.22370848	11.19158633
Asprv1	10.53824902	10.54410254	11.16140087	11.52020849	9.675498844	9.663788219	10.00145409	10.2244897
Mmp2	9.068272468	9.14685045	9.1346326	8.430619139	9.976406227	9.837651388	9.540211358	9.842273332
Fam43a	8.9711984	8.921324827	9.065105353	9.208240927	8.412861978	8.300941913	8.690231919	8.248477935
Iglc2	6.026878477	5.47379457	6.590702535	5.923110108	5.1329314	5.1329314	5.1329314	5.1329314
Maged1	8.373857056	8.067588791	8.059514996	7.98977362	8.684403642	8.747603116	8.693684491	8.608123927
Tmem109	9.760762092	9.732946388	9.624273138	9.310186237	10.21157876	10.26146758	10.19908593	10.09081722
Grk6	12.55816316	12.64842657	12.7146364	12.66330207	12.143746	12.28678625	12.27534273	12.33526953
Ankrd22	10.0204796	10.01982427	10.59665785	11.15538552	9.208032801	9.264090306	9.641505152	9.461525119
Itln1	5.995311126	5.810013484	6.250353486	6.237273154	5.36790253	5.1329314	5.1329314	5.1329314
Oas3	10.47516745	10.3885596	10.64873486	10.7157513	9.917710665	10.02803829	10.17474164	10.01901932
Fgl2	10.39222182	10.39279206	10.41366129	10.70925336	9.989719965	10.00642346	10.03159692	9.875792305
Pafah2	9.772299872	9.922128529	9.837305308	9.847684999	9.468350691	9.49733107	9.445566841	9.342180345
Evi2	8.278971527	8.135873622	8.486087811	8.676916319	7.790063118	7.705292713	7.869863255	7.608087891
Ncam1	8.672166048	8.938876352	9.195745756	9.349017604	8.145578733	8.340778863	8.294006213	8.474232213
Kcnn4	8.437925184	8.439005152	8.370189999	7.824149303	8.926267962	9.047748465	8.922552023	9.197578316
Gpnmb	12.20349387	12.0703943	11.92198424	12.32966322	12.80415291	12.51440949	12.99307663	12.76464332
Pira2-ps1	10.48320533	10.17168599	10.60936796	10.5301783	9.881022787	9.808273763	10.01248829	9.884799912
Ankrd33b	10.24633628	10.1240976	10.71627131	11.00133043	9.531687329	9.485647245	9.793252218	9.780863191
Tesk2	9.519910608	9.547727076	9.656708147	9.929900853	9.017817921	8.899676101	9.263249532	8.981626458
Mmp25	11.04725231	10.86511458	11.7259197	11.55788354	9.985738759	10.34561422	10.30717601	10.67632659
Ache	6.497054536	6.372784461	6.495801433	6.490945252	5.792505681	5.84502656	5.990700364	5.808469347
Dapk1	8.826336179	8.891584066	8.823501657	8.846517166	9.535327431	9.186741319	9.256289312	9.410398426
Sod2	11.45828548	11.67314282	11.50209542	11.10819384	12.2142676	12.27328959	11.85388797	12.2018657
NA	6.819191171	6.906065138	6.947327142	7.255216663	6.401388114	6.481456655	6.213808272	6.161612152
Sun2	14.04302589	14.21244516	14.26243659	14.43138154	13.63812023	13.7267159	13.81900233	13.7880674
