GeneSymbol	MC38_KO1	MC38_KO2	MC38_KO3	MC38_WT1	MC38_WT2	MC38_WT3
Tlr12	8.034999885	8.14268746	7.921337212	7.957827918	7.850140343	8.071490591
Tnfsf13b	9.041092729	9.049946595	9.046691037	9.118612962	9.109759096	9.113014654
Kctd21	8.78283838	8.690453323	8.640564911	8.549063044	8.641448101	8.691336513
Ntn1	7.376293548	7.381620233	7.530115801	7.394082595	7.38875591	7.240260342
Septin2	7.266292989	7.226090197	7.220922578	7.295582958	7.33578575	7.340953368
Dop1b	11.02815147	10.96830214	10.95993748	10.99268131	11.05253064	11.0608953
Rps6	12.31218843	12.43966146	12.34481235	12.37332286	12.24584982	12.34069893
Rgma	7.270051478	7.349876461	7.509926905	7.57585509	7.496030107	7.335979663
Ebf1	7.590251127	7.508210966	7.716698238	7.527343782	7.609383944	7.400896671
Pon2	10.78412211	10.77810741	10.78463052	10.73045269	10.73646739	10.72994428
Pkmyt1	7.610620508	7.591760645	7.506340682	7.440862366	7.459722229	7.545142192
Mecp2	9.737266919	9.646505028	9.692398515	9.584244103	9.675005994	9.629112506
Icam2	8.959116695	8.906032487	9.003311705	9.023216132	9.07630034	8.979021122
Gm6863	8.003182453	8.164747425	7.987045289	8.18578026	8.024215287	8.201917424
Prss46	7.356921163	7.327212127	7.358447438	7.423512956	7.453221992	7.421986681
Mrfap1	12.28633768	12.22538337	12.22942994	12.24965593	12.31061024	12.30656366
Rftn1	11.88879137	11.83512149	11.94158815	11.84249813	11.89616802	11.78970135
Atp9b	11.07089473	10.98569477	11.08288463	10.97144718	11.05664714	10.95945728
Tbc1d10a	10.32408727	10.24489093	10.31787173	10.21092952	10.29012587	10.21714506
Fam207a	10.062108	10.07952113	10.12592454	10.17280984	10.15539671	10.1089933
Naip6	9.736689	9.894696198	9.815449706	9.830314823	9.672307624	9.751554116
Ap1ar	9.549785333	9.584342597	9.586420611	9.659235197	9.624677933	9.622599919
Mylip	9.385445511	9.325152708	9.424828467	9.304488859	9.364781662	9.265105903
Rbm4b	9.073924759	9.051501198	8.976491315	8.923385613	8.945809173	9.020819057
Cdc14a	9.048143971	9.087628709	8.970306627	9.093741522	9.054256784	9.171578866
Miga2	8.600048351	8.551433211	8.484293388	8.413639822	8.462254962	8.529394785
Sms	8.478405821	8.659343092	8.551862435	8.726742589	8.545805317	8.653285975
Celsr3	8.242472157	8.2691323	8.003925241	8.185602425	8.158942282	8.424149341
Sox9	8.214692836	8.144631925	8.318909158	8.152541762	8.222602673	8.04832544
2900076A07Rik	7.436409547	7.345773028	7.164142389	7.098811331	7.18944785	7.371078489
Efnb2	7.478939074	7.339509455	7.244983731	7.14424888	7.283678499	7.378204223
Tmem192	10.31688098	10.38415831	10.35983485	10.44459523	10.37731789	10.40164136
Osbpl1a	8.973667593	9.036143456	9.112167626	9.035284812	8.972808949	8.896784779
Hps1	10.67857205	10.52670192	10.4718252	10.50112494	10.65299507	10.70787179
Mtln	8.543575367	8.527227823	8.464593788	8.556854117	8.573201662	8.635835696
Ostf1	12.96863299	13.01615544	12.9994087	13.05918172	13.01165926	13.02840601
Zfp825	7.827820174	7.917275303	8.042727161	8.115858551	8.026403422	7.900951564
Gm5165	7.595675182	7.668138644	7.5959428	7.730381912	7.65791845	7.730114294
Gm7854	7.445209642	7.502049738	7.314170943	7.306629854	7.249789758	7.437668552
Rsrc1	9.715896851	9.762038048	9.728243554	9.694128885	9.647987688	9.681782182
Evi2a	12.31473284	12.29208808	12.34081407	12.35760438	12.38024915	12.33152316
Usp3	10.32529483	10.27115674	10.31085433	10.22476677	10.27890485	10.23920727
Baiap2	9.676595677	9.551015392	9.550807489	9.574915033	9.700495318	9.700703222
Etaa1	8.432888053	8.318156236	8.49740241	8.478746094	8.593477911	8.414231737
Cnksr3	7.96025865	7.780546389	7.937758346	7.737686769	7.917399029	7.760187073
Tpmt	7.427337389	7.656493258	7.560176136	7.762947465	7.533791597	7.630108719
Stra6	7.356796597	7.164377663	7.310436039	7.095943697	7.288362631	7.142304256
Trappc8	11.01445183	10.89062315	11.01132241	10.98226791	11.10609659	10.98539733
Bola3	8.481857012	8.697704797	8.605881061	8.787141749	8.571293964	8.6631177
Mbd6	8.252815421	8.131912255	8.106343794	7.992527355	8.113430521	8.138998982
Zswim9	7.682862686	7.618599452	7.677611342	7.720890407	7.785153641	7.726141751
Susd6	12.28870738	12.18410281	12.28739466	12.17345648	12.27806106	12.17476921
Nol8	8.439071173	8.467657961	8.542342881	8.602308175	8.573721388	8.499036468
Gm4724	8.020486199	8.139936372	7.976871108	7.990378166	7.870927993	8.033993257
Tprgl	11.52534533	11.48309157	11.52475739	11.4519482	11.49420196	11.45253615
Ndufb4	9.698031451	9.856786345	9.782603571	9.796360202	9.637605307	9.711788082
Cenpl	8.917853411	8.973199863	8.875901532	8.855827592	8.80048114	8.897779471
Gm5786	7.796673943	7.804139093	7.759303467	7.858680498	7.851215347	7.896050974
Atp5mpl	10.10293212	10.28129056	10.19416393	10.34349495	10.1651365	10.25226313
Papss2	9.57398885	9.597190552	9.653825649	9.704379522	9.68117782	9.624542723
Etfrf1	8.260007488	8.544029189	8.404505781	8.463208192	8.179186491	8.318709899
Fam120c	7.099322775	7.180704133	7.16152615	7.275042407	7.193661049	7.212839032
Dld	11.06716558	11.15640002	11.06332302	11.1736259	11.08439146	11.17746846
D5Ertd579e	10.55447003	10.59237545	10.51168453	10.60403653	10.5661311	10.64682203
Atg7	11.31684449	11.24079567	11.26740457	11.28016348	11.3562123	11.32960339
Ptma	13.40183688	13.41630862	13.40518292	13.37747004	13.3629983	13.374124
Tk2	9.801141683	9.675135812	9.77490163	9.636720781	9.762726652	9.662960834
Mettl25	8.339988326	8.318600259	8.177842445	8.301340568	8.322728636	8.46348645
Spns2	7.19138275	7.226813137	7.194872239	7.302684312	7.267253926	7.299194824
Kif5c	8.111860654	8.017263832	8.113579048	7.966909532	8.061506355	7.965191139
Slc39a13	9.511526485	9.382339603	9.484695116	9.473466807	9.602653689	9.500298176
Sap30l	9.094161792	9.005653054	8.932981799	8.856417557	8.944926296	9.017597551
Rttn	8.395474725	8.613783515	8.375057087	8.446653947	8.228345158	8.467071585
Gm5869	8.331106346	8.332233843	8.274072637	8.37143451	8.370307014	8.428468219
Emg1	10.47194409	10.47405285	10.53273762	10.56586035	10.56375159	10.50506682
Fbxo7	9.878638258	9.860897711	9.866988719	9.800919122	9.818659669	9.812568661
Il17rc	7.613675214	7.533731438	7.722207638	7.547189443	7.62713322	7.438657019
BC085271	7.208180311	7.276145526	7.258187826	7.198737521	7.130772306	7.148730006
Osgepl1	8.068668493	8.050514402	8.127974846	8.015677238	8.033831329	7.956370886
Cd300ld2	7.273966793	7.283928062	7.230875897	7.339114335	7.329153066	7.382205231
Gm12758	7.184962086	7.241771016	7.364223571	7.247317959	7.190509029	7.068056474
Gm48909	7.068525038	7.173871404	7.236368496	7.329178403	7.223832037	7.161334945
Kcne3	7.170134194	7.236846459	7.228039826	7.167734458	7.101022193	7.109828826
Pag1	9.875981191	9.672711888	9.801291539	9.624348196	9.8276175	9.699037849
Cwc15	11.01559765	11.07903834	11.1096205	11.16895259	11.1055119	11.07492974
Cacybp	10.77777562	10.85395982	10.85847805	10.83151197	10.75532776	10.75080953
Med17	9.939130727	9.882274688	9.926717322	9.950507549	10.00736359	9.962920954
Cul5	9.747550715	9.755105688	9.719330617	9.793032733	9.785477759	9.82125283
Ndufa12-ps	7.319568416	7.465423315	7.361822978	7.53092294	7.385068041	7.488668378
Slc25a29	7.192271248	7.318645768	7.311226523	7.269136588	7.142762068	7.150181313
Dis3l2	9.848641046	9.742560821	9.887737464	9.741163339	9.847243565	9.702066922
Ppm1a	10.00417377	10.06200196	10.09348193	10.0442548	9.98642661	9.954946634
Prcc	8.842450409	8.745786492	8.859335346	8.861227197	8.957891114	8.84434226
Sumo3	11.17940703	11.15094221	11.22665731	11.23855198	11.26701679	11.1913017
Med11	9.896517658	10.02227581	9.928404695	9.941581445	9.815823289	9.909694408
B3gnt2	8.117331086	8.218866058	8.131100029	8.271592809	8.170057837	8.257823865
Twnk	8.004195342	8.22525814	8.037408368	8.253180335	8.032117537	8.219967309
Commd8	11.09377201	11.13367107	11.0818395	11.15920893	11.11930987	11.17114144
Cep295	8.751190077	8.814790522	8.718732058	8.701276278	8.637675834	8.733734298
Asnsd1	8.455868182	8.444309172	8.419384681	8.348902881	8.360461891	8.385386382
Fbxo5	7.998871938	8.01508166	7.958510132	7.903855218	7.887645496	7.944217023
Tomm34	10.59453075	10.51476496	10.59456951	10.59347789	10.67324368	10.59343913
Smim26	7.370088514	7.658443348	7.681334905	7.871295022	7.582940188	7.560048631
Zfp939	7.216325392	7.306035111	7.208852452	7.35891138	7.269201661	7.36638432
Mrpl23	9.911368779	9.941458573	9.897053765	9.864549213	9.834459419	9.878864227
Hadh	9.348310445	9.368460131	9.392687962	9.453990068	9.433840382	9.409612551
Borcs5	9.249346285	9.10607084	9.091235652	8.977830929	9.121106374	9.135941563
Polr2b	10.75025379	10.66133888	10.71678086	10.71952769	10.80844259	10.75300062
Btd	9.422182282	9.260555267	9.361023699	9.206390867	9.368017882	9.26754945
Dnajc18	8.670207548	8.645723889	8.745178486	8.774649187	8.799132847	8.69967825
8430429K09Rik	7.204276868	7.236834319	7.393166837	7.42498091	7.392423459	7.236090942
Gm13710	7.146444595	7.177431399	7.184614636	7.275119356	7.244132551	7.236949315
Pip4k2b	7.820264944	7.809868414	7.804834567	7.883145177	7.893541706	7.898575554
Wdr12	8.54529504	8.544553364	8.469694249	8.569119567	8.569861243	8.644720358
Dhrs7	10.00443343	10.04692552	10.02037581	10.09889845	10.05640636	10.08295607
Psmg1	8.892943079	8.918859361	8.963213504	9.024680146	8.998763864	8.954409721
Igfbp4	8.58260899	8.666940326	8.675906771	8.770457947	8.686126611	8.677160166
Tor1aip1	12.69100161	12.6276985	12.6302396	12.64786564	12.71116874	12.70862764
Rack1	11.46910866	11.60779824	11.54660128	11.66096711	11.52227753	11.5834745
Plcb2	10.43811918	10.29966037	10.38322542	10.25317251	10.39163132	10.30806627
Ubox5	8.774521606	8.718426068	8.763054973	8.658351596	8.714447134	8.669818229
Mthfsl	10.23159089	10.21202603	10.33213096	10.22835296	10.24791782	10.12781289
Pde6d	10.10236455	10.0903112	10.06349458	10.01332368	10.02537702	10.05219365
Tmem184c	9.086260865	9.07472389	9.171091965	9.066758331	9.078295306	8.981927231
Cerkl	7.558614292	7.460978743	7.536593807	7.395880564	7.493516112	7.417901049
Zfp442	7.257898027	7.225086016	7.287000884	7.16854497	7.201356981	7.139442113
Nrd1	12.00992297	11.93356149	11.99824757	11.9935053	12.06986678	12.00518071
Stard7	10.3380171	10.28619476	10.40850161	10.29462121	10.34644354	10.2241367
Wdr37	10.16305871	10.15990373	10.07070993	10.04338632	10.0465413	10.1357351
Ccdc186	9.879864993	9.750248508	9.710019009	9.617152351	9.746768837	9.786998336
Mrpl3	9.834565521	9.845839704	9.850262472	9.909344022	9.898069839	9.89364707
Pdzd11	9.78479861	9.771368877	9.814765881	9.737130154	9.750559887	9.707162883
Vezf1	9.792639829	9.871002079	9.864461082	9.950846467	9.872484217	9.879025215
Prkar2a	9.60319031	9.5580369	9.640620501	9.658556872	9.703710282	9.621126682
Ppp2cb	9.447124911	9.215074245	9.410738369	9.196724624	9.42877529	9.233111165
Med27	9.289543499	9.264216409	9.124235288	9.093439626	9.118766715	9.258747836
Fut7	8.804835375	8.805574093	8.767359734	8.710625895	8.709887176	8.748101536
Mgl2	8.381703814	8.410507836	8.487820637	8.402367258	8.373563236	8.296250435
Gm53056	7.858559072	7.833142216	7.942529368	7.977562226	8.002979082	7.89359193
Lrrc8e	7.244514761	7.273595506	7.342412539	7.243870319	7.214789574	7.145972541
Pptc7	9.808895972	9.793494391	9.817926389	9.861871412	9.877272993	9.852840995
Zfp97	8.055612808	8.044793159	8.05884426	7.972202803	7.983022452	7.96897135
Zkscan8	7.872553441	7.887500937	8.006941896	7.885199794	7.870252299	7.75081134
Aif1l	7.503325042	7.439048824	7.431369078	7.328117426	7.392393644	7.40007339
Gm19557	7.333674021	7.351357939	7.418842922	7.315289011	7.297605093	7.23012011
Sirt1	9.072760782	8.943412522	8.984836457	8.998247878	9.127596137	9.086172203
Zmym5	9.55752952	9.57584132	9.491967315	9.464410808	9.446099008	9.529973014
Lamp1	14.85326449	14.80109135	14.85774835	14.8563959	14.90856904	14.85191204
Prr13	12.4057567	12.37179083	12.30849693	12.27684896	12.31081482	12.37410873
Zfp787	9.201543966	9.097381249	9.174345971	9.180678762	9.284841479	9.207876757
Srsf2	12.18627194	12.10001083	12.00759425	12.05801182	12.14427293	12.23668951
Ubtd1	10.95367431	10.88034593	10.8671743	10.79823213	10.8715605	10.88473214
Gorab	8.651426204	8.598372678	8.514307285	8.451583441	8.504636968	8.588702361
Sap18b	9.906423662	9.886120467	9.880150325	9.931801193	9.952104388	9.95807453
Taf1a	8.267464505	8.222262933	8.302025592	8.184332131	8.229533702	8.149771043
Trim14	11.03589376	11.06916474	10.97216139	11.06435884	11.03108786	11.12809121
Ndufs4	10.74075285	10.93682048	10.82038446	10.86883353	10.6727659	10.78920191
Cript	10.65437648	10.81213566	10.68083721	10.72266066	10.56490148	10.69619993
Zcchc2	10.73094292	10.40596026	10.3714147	10.13508671	10.46006938	10.49461494
Tpgs1	10.52567485	10.48042477	10.45924242	10.50277447	10.54802456	10.5692069
Zfp608	9.322625419	9.204614246	9.314205459	9.171259553	9.289270726	9.179679513
AW011738	9.019791722	8.985694969	8.926004174	8.865283623	8.899380376	8.959071171
Lins1	8.550748185	8.465205334	8.539924515	8.559799771	8.645342623	8.570623442
Zfp36l2	13.95355193	13.886266	13.82904645	13.78608433	13.85337026	13.9105898
Gm6545	9.180544672	9.113403173	9.014451237	8.953612582	9.020754081	9.119706017
Rhbdd1	10.27199503	10.10724346	10.22065227	10.1864084	10.35115997	10.23775117
Map2k3	11.78527994	11.70231832	11.72606912	11.73394716	11.81690878	11.79315798
Heatr5a	10.29835508	10.2824578	10.36624939	10.38590501	10.40180229	10.31801071
Kctd5	10.18507147	10.23525569	10.23577254	10.30537109	10.25518687	10.25467002
Ndst1	9.907788768	9.854695634	9.91124533	9.931239339	9.984332473	9.927782777
Mettl21a	9.063702221	9.091334646	9.085397412	9.161718	9.134085575	9.140022809
Rps2-ps6	8.246620185	8.243899356	8.280691019	8.342221982	8.344942811	8.308151149
Gstm5	7.290265767	7.306441859	7.314054145	7.398208918	7.382032826	7.374420541
Rnpc3	9.21259437	9.168942748	9.148606217	9.07582054	9.119472163	9.139808693
Pmm1	8.046419777	7.842091178	7.978033418	7.785556766	7.989885364	7.853943125
Sgcb	10.07879692	10.16665594	10.07377865	10.18985068	10.10199166	10.19486895
Mcm9	9.533538262	9.492551593	9.366092649	9.329849865	9.370836533	9.497295477
Pin1	10.25410246	10.3225214	10.29959942	10.38269387	10.31427493	10.33719691
Zbtb45	8.818739668	8.671102242	8.717347642	8.725935567	8.873572994	8.827327594
Tpm3	14.75747886	14.73538257	14.71140479	14.74584748	14.76794377	14.79192155
Gusb	12.5582948	12.40787252	12.55863952	12.5039373	12.65435957	12.50359258
Jak3	12.01269783	11.90597925	11.86521304	11.88966066	11.99637923	12.03714545
Inpp5k	11.46692727	11.38137098	11.48526476	11.37594313	11.46149942	11.35760564
Mmp8	10.30724623	10.14189696	10.30394119	10.25321365	10.41856292	10.25651869
Faim	10.00629023	9.94283647	9.903371866	9.953051898	10.01650566	10.05597026
Crebzf	9.984409954	10.00366122	9.806238645	9.816002609	9.796751343	9.994173918
Snx19	10.00218871	9.906717417	9.984644963	9.983638525	10.07910982	10.00118227
Yeats2	9.550404917	9.447491023	9.515880057	9.396626236	9.49954013	9.431151096
Tns4	9.383458806	9.179598903	9.292133492	9.118230126	9.322090028	9.20955544
Snapc4	9.17252673	9.092086026	9.022257818	8.951191577	9.031632281	9.101460489
Immp1l	8.862474976	9.069293761	8.851978975	8.920943287	8.714124502	8.931439288
Tiam2	8.993018267	9.046444946	9.06566358	9.009512635	8.956085955	8.936867321
Fbxo8	8.835573642	8.732356098	8.858090075	8.708885156	8.8121027	8.686368722
Eef1akmt2	8.89768271	9.008954703	8.908260544	9.047980208	8.936708215	9.037402373
Tfb2m	8.354166587	8.401271362	8.277132897	8.260872407	8.213767632	8.337906097
Gas6	8.378292566	8.210352604	8.345365837	8.164407612	8.332347574	8.19733434
Sgf29	8.300578768	8.350877558	8.324633039	8.275156208	8.224857418	8.251101937
Gm12251	8.108383974	8.171770834	8.139745128	8.247628111	8.184241251	8.216266957
Tarbp1	8.105945202	8.15639094	8.136827951	8.234748595	8.184302857	8.203865846
Svip	7.77873223	7.833057659	7.893640476	7.809816849	7.75549142	7.694908602
Bdh2	7.636661068	7.647376656	7.698405711	7.764076291	7.753360702	7.702331648
Slc1a4	7.614212117	7.613466355	7.764827013	7.798438179	7.799183941	7.647823283
Gm9616	7.458942059	7.512631208	7.4928398	7.598947497	7.545258348	7.565049756
Kif20b	7.551562421	7.515905969	7.586100413	7.471317642	7.506974093	7.436779649
Nat8l	7.438280184	7.241142063	7.205448233	7.064145999	7.261284119	7.29697795
Fam83g	7.381664101	7.329078139	7.30882786	7.37961921	7.432205172	7.45245545
6430590A07Rik	7.290042038	7.342057157	7.086047584	7.113400735	7.061385616	7.317395189
8030453O22Rik	7.168552622	7.097333561	7.050549592	7.118864741	7.190083803	7.236867772
Sox12	7.172276265	7.044896037	7.199633831	7.198804574	7.326184803	7.171447008
Pif1	6.84062781	7.10549201	7.317448274	7.458325032	7.193460832	6.981504568
Col6a3	8.811212692	9.115128806	9.262947532	9.163561899	8.859645786	8.711827059
Myo9a	9.648703196	9.555603769	9.501070213	9.551252188	9.644351615	9.698885171
Dnajc14	11.34825836	11.29192637	11.36803872	11.3683668	11.4246988	11.34858644
Arhgap4	10.95584614	10.94940608	10.89882871	10.86675865	10.87319871	10.92377608
Rbm27	9.852463032	9.797140199	9.800452215	9.723794677	9.779117511	9.775805494
Ebag9	8.522721626	8.646254071	8.593225396	8.577402126	8.453869681	8.506898356
Trim13	8.254563408	8.172769961	8.358217148	8.348490698	8.430284146	8.244836958
Lsm4	10.72680587	10.74677443	10.70179018	10.67535531	10.65538675	10.700371
Mon1a	9.364878241	9.371344013	9.211031883	9.334370161	9.327904389	9.488216518
Gm11539	7.490771287	7.694272448	7.510393804	7.549115779	7.345614619	7.529493262
Zfp947	7.426207352	7.417452644	7.420310642	7.334999524	7.343754232	7.340896233
Yipf6	9.701903082	9.688022181	9.829435734	9.838122589	9.85200349	9.710589937
Tdp1	8.933686529	8.916027316	9.042771199	9.062430507	9.08008972	8.953345837
Ttbk2	7.541266628	7.571134918	7.469725233	7.432058865	7.402190576	7.503600261
Ppp4r3a	11.02660641	10.96970046	11.08494127	11.07542144	11.13232739	11.01708659
Frg1	10.24367697	10.28302888	10.34827647	10.39254141	10.3531895	10.28794191
Mcm3ap	10.04736513	10.00761958	10.04655185	9.965694358	10.00543991	9.966507638
Taf12	10.07330331	10.14464649	10.12537211	10.2093455	10.13800231	10.15727669
Atxn7l3b	9.539885075	9.498555112	9.418737881	9.369387249	9.410717212	9.490534443
Purg	7.544991178	7.557844044	7.365244071	7.347233395	7.33438053	7.526980502
Abca2	9.477128814	9.334598123	9.574927239	9.514294303	9.656824994	9.416495878
Setd7	8.153807451	8.150788499	8.185749744	8.097211645	8.100230597	8.065269351
Gm13986	7.597182671	7.79768991	7.714971243	7.724597894	7.524090654	7.606809322
Prr15	7.118654081	7.220928872	7.068103822	7.233363379	7.131088589	7.283913638
Ccndbp1	10.44818717	10.41128122	10.48652983	10.4997156	10.53662156	10.46137295
Rfng	9.675164879	9.745690749	9.707303572	9.801366804	9.730840934	9.769228111
Eif3d	10.78923976	10.85761132	10.80131242	10.89070345	10.82233189	10.87863079
Rasal2	7.583949797	7.756158816	7.54304511	7.588034781	7.415825762	7.628939468
Ptprj	11.01311217	11.09271359	11.03157078	11.12484746	11.04524604	11.10638885
Oxct1	10.64573165	10.65218774	10.72830097	10.65480116	10.64834507	10.57223184
Arid3b	9.475799506	9.327738773	9.208333753	9.127189756	9.275250489	9.394655509
Slc7a5	9.407528841	9.266644247	9.558948631	9.487591492	9.628476086	9.336171702
Fam204a	9.369339599	9.383336564	9.313115343	9.279516805	9.26551984	9.33574106
Pgm3	8.983350109	8.899887714	8.924176689	8.820877437	8.904339832	8.880050857
