"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"GSE138794-GSM4119521-SF10022_Myeloid_0"	"GSE138794-GSM4119521-SF10022"	"Myeloid"	"0"
"GSE138794-GSM4119521-SF10022_Myeloid_3"	"GSE138794-GSM4119521-SF10022"	"Myeloid"	"3"
"GSE138794-GSM4119521-SF10022_Myeloid_4"	"GSE138794-GSM4119521-SF10022"	"Myeloid"	"4"
"GSE138794-GSM4119521-SF10022_Myeloid_13"	"GSE138794-GSM4119521-SF10022"	"Myeloid"	"13"
"GSE138794-GSM4119521-SF10022_Stroma_3"	"GSE138794-GSM4119521-SF10022"	"Stroma"	"3"
"GSE138794-GSM4119521-SF10022_Stroma_4"	"GSE138794-GSM4119521-SF10022"	"Stroma"	"4"
"GSE138794-GSM4119521-SF10022_Stroma_6"	"GSE138794-GSM4119521-SF10022"	"Stroma"	"6"
"GSE138794-GSM4119521-SF10022_Stroma_7"	"GSE138794-GSM4119521-SF10022"	"Stroma"	"7"
"GSE138794-GSM4119521-SF10022_Tumor_0"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"0"
"GSE138794-GSM4119521-SF10022_Tumor_1"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"1"
"GSE138794-GSM4119521-SF10022_Tumor_2"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"2"
"GSE138794-GSM4119521-SF10022_Tumor_3"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"3"
"GSE138794-GSM4119521-SF10022_Tumor_4"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"4"
"GSE138794-GSM4119521-SF10022_Tumor_5"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"5"
"GSE138794-GSM4119521-SF10022_Tumor_6"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"6"
"GSE138794-GSM4119521-SF10022_Tumor_7"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"7"
"GSE138794-GSM4119521-SF10022_Tumor_9"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"9"
"GSE138794-GSM4119521-SF10022_Tumor_10"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"10"
"GSE138794-GSM4119521-SF10022_Tumor_11"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"11"
"GSE138794-GSM4119521-SF10022_Tumor_12"	"GSE138794-GSM4119521-SF10022"	"Tumor"	"12"
"GSE138794-GSM4119522-SF10127_Myeloid_0"	"GSE138794-GSM4119522-SF10127"	"Myeloid"	"0"
"GSE138794-GSM4119522-SF10127_Myeloid_4"	"GSE138794-GSM4119522-SF10127"	"Myeloid"	"4"
"GSE138794-GSM4119522-SF10127_Tumor_0"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"0"
"GSE138794-GSM4119522-SF10127_Tumor_1"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"1"
"GSE138794-GSM4119522-SF10127_Tumor_2"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"2"
"GSE138794-GSM4119522-SF10127_Tumor_3"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"3"
"GSE138794-GSM4119522-SF10127_Tumor_4"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"4"
"GSE138794-GSM4119522-SF10127_Tumor_5"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"5"
"GSE138794-GSM4119522-SF10127_Tumor_6"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"6"
"GSE138794-GSM4119522-SF10127_Tumor_7"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"7"
"GSE138794-GSM4119522-SF10127_Tumor_8"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"8"
"GSE138794-GSM4119522-SF10127_Tumor_9"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"9"
"GSE138794-GSM4119522-SF10127_Tumor_10"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"10"
"GSE138794-GSM4119522-SF10127_Tumor_11"	"GSE138794-GSM4119522-SF10127"	"Tumor"	"11"
"GSE138794-GSM4119523-SF11979sn_Tumor_0"	"GSE138794-GSM4119523-SF11979sn"	"Tumor"	"0"
"GSE138794-GSM4119523-SF11979sn_Tumor_1"	"GSE138794-GSM4119523-SF11979sn"	"Tumor"	"1"
"GSE138794-GSM4119523-SF11979sn_Tumor_2"	"GSE138794-GSM4119523-SF11979sn"	"Tumor"	"2"
