"SampleID"	"PatientID"	"CellType"
"X1001000010_Myeloid"	"X1001000010"	"Myeloid"
"X1001000010_Stroma"	"X1001000010"	"Stroma"
"X1001000010_Tumor"	"X1001000010"	"Tumor"
"X1001000012_Myeloid"	"X1001000012"	"Myeloid"
"X1001000012_Tumor"	"X1001000012"	"Tumor"
"X1001000014_Stroma"	"X1001000014"	"Stroma"
"X1001000014_Tumor"	"X1001000014"	"Tumor"
"X1001000015_Myeloid"	"X1001000015"	"Myeloid"
"X1001000017_Myeloid"	"X1001000017"	"Myeloid"
"X1001000017_Stroma"	"X1001000017"	"Stroma"
"X1001000017_Tumor"	"X1001000017"	"Tumor"
"X1001000018_Myeloid"	"X1001000018"	"Myeloid"
"X1001000018_Stroma"	"X1001000018"	"Stroma"
"X1001000018_Tumor"	"X1001000018"	"Tumor"
"X1001000019_Myeloid"	"X1001000019"	"Myeloid"
"X1001000019_Stroma"	"X1001000019"	"Stroma"
"X1001000019_Tumor"	"X1001000019"	"Tumor"
"X1001000028_Tumor"	"X1001000028"	"Tumor"
"X1001000031_Myeloid"	"X1001000031"	"Myeloid"
"X1001000031_Tumor"	"X1001000031"	"Tumor"
"X1001000032_Myeloid"	"X1001000032"	"Myeloid"
"X1001000032_Tumor"	"X1001000032"	"Tumor"
"X1001000033_Myeloid"	"X1001000033"	"Myeloid"
"X1001000033_Tumor"	"X1001000033"	"Tumor"
"X1001000034_Stroma"	"X1001000034"	"Stroma"
"X1001000034_Tumor"	"X1001000034"	"Tumor"
"X1001000036_Myeloid"	"X1001000036"	"Myeloid"
"X1001000036_Stroma"	"X1001000036"	"Stroma"
"X1001000036_Tumor"	"X1001000036"	"Tumor"
"X1001000037_Myeloid"	"X1001000037"	"Myeloid"
"X1001000037_Tumor"	"X1001000037"	"Tumor"
"X1001000173_Myeloid"	"X1001000173"	"Myeloid"
"X1001000173_Stroma"	"X1001000173"	"Stroma"
"X1001000173_Tumor"	"X1001000173"	"Tumor"
"X1001000174_Myeloid"	"X1001000174"	"Myeloid"
"X1001000174_Tumor"	"X1001000174"	"Tumor"
"X1001000175_Myeloid"	"X1001000175"	"Myeloid"
"X1001000175_Stroma"	"X1001000175"	"Stroma"
"X1001000175_Tumor"	"X1001000175"	"Tumor"
"X1001000176_Myeloid"	"X1001000176"	"Myeloid"
"X1001000176_Tumor"	"X1001000176"	"Tumor"
"X1001000177_Myeloid"	"X1001000177"	"Myeloid"
"X1001000177_Tumor"	"X1001000177"	"Tumor"
"X1001000178_Myeloid"	"X1001000178"	"Myeloid"
"X1001000178_Tumor"	"X1001000178"	"Tumor"
"X1001000179_Myeloid"	"X1001000179"	"Myeloid"
"X1001000179_Tumor"	"X1001000179"	"Tumor"
"X1001000180_Myeloid"	"X1001000180"	"Myeloid"
"X1001000180_Stroma"	"X1001000180"	"Stroma"
"X1001000180_Tumor"	"X1001000180"	"Tumor"
"X1001000181_Myeloid"	"X1001000181"	"Myeloid"
"X1001000181_Stroma"	"X1001000181"	"Stroma"
"X1001000181_Tumor"	"X1001000181"	"Tumor"
"X1001000182_Myeloid"	"X1001000182"	"Myeloid"
"X1001000182_Stroma"	"X1001000182"	"Stroma"
"X1001000182_Tumor"	"X1001000182"	"Tumor"
"X1001000183_Myeloid"	"X1001000183"	"Myeloid"
"X1001000183_Tumor"	"X1001000183"	"Tumor"
"X1001000184_Myeloid"	"X1001000184"	"Myeloid"
"X1001000184_Tumor"	"X1001000184"	"Tumor"
"X1001000185_Myeloid"	"X1001000185"	"Myeloid"
"X1001000185_Tumor"	"X1001000185"	"Tumor"
"X1001000186_Stroma"	"X1001000186"	"Stroma"
"X1001000186_Tumor"	"X1001000186"	"Tumor"
"X1001000187_Tumor"	"X1001000187"	"Tumor"
"X1001000191_Myeloid"	"X1001000191"	"Myeloid"
"X1001000194_Stroma"	"X1001000194"	"Stroma"
"X1001000229_Myeloid"	"X1001000229"	"Myeloid"
"X1001000229_Tumor"	"X1001000229"	"Tumor"
"X1001000230_Myeloid"	"X1001000230"	"Myeloid"
"X1001000230_Tumor"	"X1001000230"	"Tumor"
"X1001000231_Myeloid"	"X1001000231"	"Myeloid"
"X1001000231_Tumor"	"X1001000231"	"Tumor"
"X1001000232_Stroma"	"X1001000232"	"Stroma"
"X1001000232_Tumor"	"X1001000232"	"Tumor"
"X1001000233_Stroma"	"X1001000233"	"Stroma"
"X1001000233_Tumor"	"X1001000233"	"Tumor"
"X1001000234_Stroma"	"X1001000234"	"Stroma"
